"Molecular.Weight..g.mol..","XLogP3","Hydrogen.Bond.Donor.Count","Hydrogen.Bond.Acceptor.Count","Rotatable.Bond.Count","Topological.Polar.Surface.Area.A.2.","Heavy.Atom.Count","Complexity","LogS","Ratio.","Name","Ratio..1","Name.1","Ratio..2","Name.2","Ratio..3","Name.3","Ratio..4","Ratio..5","Ratio..6","Ratio..7","Ratio..8"
318.129,4.4,1,3,4,52.2,20,310,-4.8,20,3,31.2,0,0,2,46.8,0,0,34.7,58,77,89.8
318.129,4.4,1,3,4,52.2,20,310,-4.8,20,3,78,0,0,2,0,0,0,27.5,44.8,60.3,73.3
295.807,3,3,3,6,41.5,20,257,-3.5,10,5,90,0,0,0,0,0,0,42.6,61.3,77.1,84.2
295.807,3,3,3,6,41.5,20,257,-3.5,33.3,4,66.7,0,0,0,0,0,0,30.5,51.6,63.9,73.3
295.807,3,3,3,6,41.5,20,257,-3.5,46.03,4,13.3,10,39.92,0,0,0,0,47.1,68.8,82.2,89.8
295.807,3,3,3,6,41.5,20,257,-3.5,46.03,4,26.61,10,26.61,0,0,0,0,37.5,56.8,71.5,83.1
295.807,3,3,3,6,41.5,20,257,-3.5,46.03,4,53.22,10,0,0,0,0,0,23.4,35.5,45.1,53.3
295.807,3,3,3,6,41.5,20,257,-3.5,50,4,50,0,0,0,0,0,0,52.5,70.1,87.7,97.7
267.369,1.9,2,4,9,50.7,19,215,-2.8,20,3,40,0,0,1,37,0,0,34.9,53.4,70.3,83.9
236.274,2.5,1,1,0,46.3,18,326,-3.2,30,6,10,0,0,1,40,2,19,22.6,37.1,56.6,58.7
236.274,2.5,1,1,0,46.3,18,326,-3.2,30,6,40,0,0,1,10,2,19,1.22,3.78,9.9,10.7
206.285,3.5,1,2,4,37.3,15,203,-3.99,20,4,8,9,8,2,64,0,0,72.5,100,100,100
206.285,3.5,1,2,4,37.3,15,203,-3.99,20,4,8,7,8,2,64,0,0,31.3,39.8,47.4,53.3
206.285,3.5,1,2,4,37.3,15,203,-3.99,20,4,8,8,8,2,64,0,0,22.4,34.8,45.2,52.6
206.285,3.5,1,2,4,37.3,15,203,-3.99,20,4,16,9,16,2,48,0,0,31.8,45.3,56.7,67.6
206.285,3.5,1,2,4,37.3,15,203,-3.99,20,4,16,8,32,2,32,0,0,23.8,37.9,49,61.9
206.285,3.5,1,2,4,37.3,15,203,-3.99,20,4,24,8,24,2,32,0,0,22.3,34.5,45,52.5
206.285,3.5,1,2,4,37.3,15,203,-3.99,20,4,32,9,16,2,32,0,0,16.3,28,40.7,48.1
206.285,3.5,1,2,4,37.3,15,203,-3.99,20,4,32,8,16,2,32,0,0,19.8,30.7,40.3,48.3
180.167,0,1,3,0,69.3,13,267,-0.9,1,5,99,0,0,0,0,0,0,25.4,43.4,59,70.4
180.167,0,1,3,0,69.3,13,267,-0.9,5,5,95,0,0,0,0,0,0,21.7,37.1,49.8,59.6
180.167,0,1,3,0,69.3,13,267,-0.9,10,4,10,0,0,1,79,0,0,74,94,100,100
180.167,0,1,3,0,69.3,13,267,-0.9,10,4,10,0,0,2,79,0,0,73.9,94.7,100,100
180.167,0,1,3,0,69.3,13,267,-0.9,30,4,20,0,0,1,49.25,0,0,31.3,51.4,66.8,82.3
180.167,0,1,3,0,69.3,13,267,-0.9,30,5,70,0,0,0,0,0,0,21.7,30.6,37.5,42.7
180.167,0,1,3,0,69.3,13,267,-0.9,40,1,60,0,0,0,0,0,0,37.4,63.3,82.9,99.7
180.167,0,1,3,0,69.3,13,267,-0.9,50,4,30,0,0,1,19,0,0,73.5,96.7,99.3,100
180.167,0,1,3,0,69.3,13,267,-0.9,50,5,50,0,0,0,0,0,0,15.6,26,33,37.5
180.167,0,1,3,0,69.3,13,267,-0.9,50,6,8,0,0,1,40,0,0,32.9,47.6,59.1,69.7
180.167,0,1,3,0,69.3,13,267,-0.9,50,6,8,0,0,1,40,0,0,32.5,47.5,58.9,69.9
180.167,0,1,3,0,69.3,13,267,-0.9,50,6,30,0,0,1,18,0,0,17,25,32.4,38.7
180.167,0,1,3,0,69.3,13,267,-0.9,50,6,30,0,0,1,18,0,0,18.8,25,32.2,38.8
180.167,0,1,3,0,69.3,13,267,-0.9,50,6,30,0,0,1,18,0,0,18.7,25.2,32,38.7
180.167,0,1,3,0,69.3,13,267,-0.9,60,5,40,0,0,0,0,0,0,17.3,25.4,31.9,38.8
180.167,0,1,3,0,69.3,13,267,-0.9,70,5,30,0,0,0,0,0,0,21.5,29.9,37.9,44.9
480.898,-2,7,9,2,182,33,971,-3.12,39.18,4,58.77,0,0,0,0,0,0,25.9,40.4,51.8,60.9
450.978,3.1,1,6,7,84.4,30,565,-4.4,36.5,2,31.75,9,31.75,0,0,0,0,13.3,24.1,33.6,43.6
450.978,3.1,1,6,7,84.4,30,565,-4.4,36.5,2,63.5,0,0,0,0,0,0,25.8,41.6,54.1,64.2
445.538,1.9,3,6,7,139,31,697,-4.4,6.57,5,22.99,3,36.12,1,32.84,0,0,9.49,18.5,29.3,40.7
445.538,1.9,3,6,7,139,31,697,-4.4,6.57,6,29.56,3,29.56,1,32.84,0,0,5.61,11.4,18.8,28.5
445.538,1.9,3,6,7,139,31,697,-4.4,6.57,6,59.11,0,0,1,32.84,0,0,6.04,11.7,17.3,24
445.538,1.9,3,6,7,139,31,697,-3.2,15,3,35,0,0,2,49,0,0,17.9,42.5,64,79.5
384.253,3.9,1,5,6,64.6,25,614,-4.7,2.5,3,37,0,0,1,59.5,0,0,22.1,47.7,70.6,87.5
360.45,1.6,3,5,2,94.8,26,724,-3.21,5,6,25,0,0,1,70,0,0,14,21.9,30.7,38.8
358.434,1.5,2,5,2,91.7,26,764,-3.5,10,6,90,0,0,0,0,0,0,3.86,7.73,11.8,15
352.316,3.4,1,2,1,12.5,21,370,-4.5,20,3,20,0,0,1,29.5,2,29.5,67.4,94.8,97.6,96.7
352.316,3.4,1,2,1,12.5,21,370,-4.5,20,3,60,0,0,1,9.5,2,9.5,31,47.6,60.5,72.1
308.769,2.1,0,3,1,43.1,22,434,-4,2.5,4,40,0,0,1,36.5,2,20,33.7,51.9,65,74.7
308.769,2.1,0,3,1,43.1,22,434,-4,2.51,3,45,0,0,1,31.49,2,20,38.7,58,72.1,83.9
290.323,0.9,2,7,5,106,21,307,-2.86,40,2,25,0,0,1,34.5,0,0,9.79,17.4,23.2,29.1
263.308,0.9,4,6,3,115,17,202,-1.3,10,6,90,0,0,0,0,0,0,42,59.5,70.5,79.8
165.625,-1.3,4,1,2,91.5,10,132,-2,50,6,30,0,0,2,19,0,0,48.7,69.9,84,92.4
267.369,1.9,2,4,9,50.7,19,215,-2.8,20,3,10,0,0,1,67,0,0,91,100,100,100
194.194,-0.1,0,3,0,58.4,14,293,-0.97,10,4,5,0,0,1,56.3,2,28.2,97.3,99.8,100,100
194.194,-0.1,0,3,0,58.4,14,293,-0.97,10,4,7.5,0,0,1,54.7,2,27.3,95.7,99.3,100,100
194.194,-0.1,0,3,0,58.4,14,293,-0.97,10,4,10,0,0,1,53,2,26.5,100,100,100,100
194.194,-0.1,0,3,0,58.4,14,293,-0.97,10,4,12.5,0,0,1,51.3,2,25.7,88.1,99,100,100
194.194,-0.1,0,3,0,58.4,14,293,-0.97,10,4,12.5,0,0,1,51.3,2,25.7,88.7,99.5,100,100
194.194,-0.1,0,3,0,58.4,14,293,-0.97,10,4,15,0,0,1,49.7,2,24.8,81.9,98.1,100,100
137.142,-0.7,2,3,1,68,10,120,0.01,81.97,3,16.39,0,0,0,0,0,0,95.3,100,100,100
