"Molecular.Weight..g.mol..","XLogP3","Hydrogen.Bond.Donor.Count","Hydrogen.Bond.Acceptor.Count","Rotatable.Bond.Count","Topological.Polar.Surface.Area.A.2.","Heavy.Atom.Count","Complexity","LogS","Ratio.","Name","Ratio..1","Name.1","Ratio..2","Name.2","Ratio..3","Name.3","Ratio..4","Ratio..5","Ratio..6","Ratio..7","Ratio..8"
1,0.9375,0.857142857142857,1,0.384615384615385,1,1,1,0.156555772994129,0.845661690425413,0.4,0.190425531914894,0,0,0,0,0,0,0.184,0.453,0.728,0.902
0.516070754187378,0.90625,0.142857142857143,0.357142857142857,1,0.251833740831296,0.489795918367347,0.298159509202454,0,0.325513525648221,0.4,0.265957446808511,0,0,0.5,0.240506329113924,1,0.5,0.185,0.455,0.721,0.893
0.516070754187378,0.90625,0.142857142857143,0.357142857142857,1,0.251833740831296,0.489795918367347,0.298159509202454,0,0.325513525648221,1,0.265957446808511,0,0,0.5,0.240506329113924,1,0.5,0.141,0.243,0.271,0.372
0.501240137588928,0,1,0.571428571428571,0.153846153846154,0.828850855745721,0.469387755102041,0.522085889570552,0.38747553816047,0.304748007632731,0.6,0.396170212765957,0,0,0.5,0.356329113924051,0,0,0.407,0.531,0.641,0.755
0.449680742945214,0.609375,0.428571428571429,0.357142857142857,0.538461538461538,0.618581907090465,0.428571428571429,0.35398773006135,0.136986301369863,0.0625210461331238,0.8,0.261276595744681,0.3,0.740480961923848,0.5,0.415696202531646,0,0,0.0712,0.142,0.233,0.332
0.369959070356119,0.84375,0.285714285714286,0.357142857142857,0.538461538461538,0.38239608801956,0.346938775510204,0.152147239263804,0.273972602739726,0.101021438994275,0.8,0.904255319148936,0,0,0,0,0,0,0.173,0.287,0.383,0.461
0.369959070356119,0.84375,0.285714285714286,0.357142857142857,0.538461538461538,0.38239608801956,0.346938775510204,0.152147239263804,0.273972602739726,0.662251655629139,0.8,0.372340425531915,0,0,0,0,0,0,0.311,0.467,0.579,0.669
0.313751164679482,0.84375,0.142857142857143,0.0714285714285714,0.0769230769230769,0,0.224489795918367,0.153374233128834,0.117416829745597,0.213267482321248,0.4,0.372340425531915,0,0,0.5,0.246835443037975,1,0.4875,0.364,0.58,0.763,0.886
0.263902153800391,1,0.142857142857143,0.142857142857143,0.307692307692308,0.194132029339853,0.204081632653061,0.116564417177914,0.0587084148727984,0.213267482321248,0.4,0.527659574468085,0,0,1,0.29620253164557,0,0,0.313,0.501,0.648,0.782
0.250254078747643,0.640625,0,0.142857142857143,0.0769230769230769,0.149633251833741,0.244897959183673,0.192638036809816,0.215264187866928,0.0169491525423729,0.6,0.340425531914894,0,0,0.5,0.499873417721519,1,0.5,0.402,0.6,0.756,0.867
0.23135382780387,0.78125,0.428571428571429,0.142857142857143,0.461538461538462,0.141809290953545,0.204081632653061,0.0840490797546012,0.313111545988258,0.505443933101358,0.6,0.371489361702128,1,0.333166332665331,0,0,0,0,0.351,0.528,0.667,0.773
0.189887592937413,0.609375,0.285714285714286,0.214285714285714,0.692307692307692,0.18679706601467,0.183673469387755,0.0582822085889571,0.450097847358121,0.213267482321248,0.6,0.0531914893617021,0,0,0.5,0.848101265822785,0,0,0.498,0.674,0.943,1
0.144547112834294,0.703125,0.142857142857143,0,0,0.165281173594132,0.163265306122449,0.12638036809816,0.371819960861057,0.325513525648221,1,0.265957446808511,0,0,0.5,0.253164556962025,1,0.475,0.0122,0.0689,0.0989,0.107
0.100819321941468,0.859375,0.142857142857143,0.0714285714285714,0.307692307692308,0.121271393643032,0.102040816326531,0.050920245398773,0.217221135029354,0.213267482321248,0.6,0.117021276595745,0.9,0.801603206412826,1,0.40506329113924,0,0,0.25,0.418,0.627,0.912
0.100819321941468,0.859375,0.142857142857143,0.0714285714285714,0.307692307692308,0.121271393643032,0.102040816326531,0.050920245398773,0.217221135029354,0.213267482321248,0.6,0.202127659574468,0.7,0.601202404809619,1,0.40506329113924,0,0,0.31,0.394,0.465,0.524
0.0831891002039921,0.296875,0,0.142857142857143,0,0.224449877750611,0.0816326530612245,0.106134969325153,0.808219178082192,0.101021438994275,0.6,0.0531914893617021,0,0,0.5,0.670886075949367,1,0.6625,0.976,1,1,1
0.0627359432846659,0.3125,0.142857142857143,0.142857142857143,0,0.277750611246944,0.0612244897959184,0.0901840490797546,0.821917808219178,0.325513525648221,0.6,0.159574468085106,0,0,1,0.623417721518987,0,0,0.245,0.386,0.489,0.608
0.0627359432846659,0.3125,0.142857142857143,0.142857142857143,0,0.277750611246944,0.0612244897959184,0.0901840490797546,0.821917808219178,0.550005612302166,1,0.106382978723404,0,0,0.5,0.417721518987342,0,0,0.234,0.33,0.429,0.496
0,0.203125,0.285714285714286,0.142857142857143,0.0769230769230769,0.271393643031785,0,0,1,0.681670221124705,0.4,0.340851063829787,0,0,0,0,0,0,0.475,0.776,0.886,0.935
0,0.203125,0.285714285714286,0.142857142857143,0.0769230769230769,0.271393643031785,0,0,1,0.779212032775845,0.4,0.246489361702128,0,0,0,0,0,0,0.572,0.824,0.965,1
