"Molecular.Weight_g.mol_","XLogP3","Hydrogen.Bond.Donor.Count","Hydrogen.Bond.Acceptor.Count","Rotatable.Bond.Count","Topological.Polar.Surface.Area.A.2.","Heavy.Atom.Count","Complexity","LogS","Ratio.","Name","Ratio..1","Name.1","Ratio..2","Name.2","Ratio..3","Name.3","Ratio..4","Ratio..5","Ratio..6","Ratio..7","Ratio..8"
295.807,3,3,3,6,41.5,20,257,-3.5,46.03,4,26.61,10,26.61,0,0,0,0,37.5,56.8,71.5,83.1
295.807,3,3,3,6,41.5,20,257,-3.5,46.03,4,39.92,10,13.3,0,0,0,0,35.1,52.8,66.7,77.3
295.807,3,3,3,6,41.5,20,257,-3.5,46.03,4,53.22,10,0,0,0,0,0,23.4,35.5,45.1,53.3
295.807,3,3,3,6,41.5,20,257,-3.5,33.3,4,66.7,0,0,0,0,0,0,30.5,51.6,63.9,73.3
295.807,3,3,3,6,41.5,20,257,-3.5,10,5,90,0,0,0,0,0,0,42.6,61.3,77.1,84.2
358.434,1.5,2,5,2,91.7,26,764,-3.5,10,6,90,0,0,0,0,0,0,3.86,7.73,11.8,15
360.45,1.6,3,5,2,94.8,26,724,-3.21,5,6,25,0,0,1,70,0,0,14,21.9,30.7,38.8
445.538,1.9,3,6,7,139,31,697,-3.2,15,3,35,0,0,2,49,0,0,17.9,42.5,64,79.5
236.274,2.5,1,1,0,46.3,18,326,-3.2,30,6,10,0,0,1,40,2,19,22.6,37.1,56.6,58.7
236.274,2.5,1,1,0,46.3,18,326,-3.2,30,6,20,0,0,1,30,2,19,3,15.3,24.6,25.8
236.274,2.5,1,1,0,46.3,18,326,-3.2,30,6,35,0,0,1,15,2,19,1.22,3.33,9.89,10.7
236.274,2.5,1,1,0,46.3,18,326,-3.2,30,6,40,0,0,1,10,2,19,1.22,3.78,9.9,10.7
480.898,-2,7,9,2,182,33,971,-3.12,28.15,4,42.24,0,0,1,28.15,0,0,40.7,53.1,64.1,75.5
480.898,-2,7,9,2,182,33,971,-3.12,39.18,4,58.77,0,0,0,0,0,0,25.9,40.4,51.8,60.9
290.323,0.9,2,7,5,106,21,307,-2.86,40,2,25,0,0,1,34.5,0,0,9.79,17.4,23.2,29.1
267.369,1.9,2,4,9,50.7,19,215,-2.8,20,3,10,0,0,1,67,0,0,91,100,100,100
267.369,1.9,2,4,9,50.7,19,215,-2.8,20,3,40,0,0,1,37,0,0,34.9,53.4,70.3,83.9
267.369,1.9,2,4,9,50.7,19,215,-2.8,20,4,10,0,0,1,67,0,0,49.8,67.4,94.3,100
267.369,1.9,2,4,9,50.7,19,215,-2.8,20,4,40,0,0,1,37,0,0,29.2,45.8,57.3,67
267.369,1.9,2,4,9,50.7,19,215,-2.8,20,6,10,0,0,1,67,0,0,26.9,42.9,57.1,75.8
267.369,1.9,2,4,9,50.7,19,215,-2.8,20,6,40,0,0,1,37,0,0,26,38.6,48.8,57.1
165.625,-1.3,4,1,2,91.5,10,132,-2,50,6,30,0,0,2,19,0,0,48.7,69.9,84,92.4
263.308,0.9,4,6,3,115,17,202,-1.3,10,6,90,0,0,0,0,0,0,42,59.5,70.5,79.8
194.194,-0.1,0,3,0,58.4,14,293,-0.97,10,4,5,0,0,1,56.3,2,28.2,97.3,99.8,100,100
194.194,-0.1,0,3,0,58.4,14,293,-0.97,10,4,7.5,0,0,1,54.7,2,27.3,95.7,99.3,100,100
194.194,-0.1,0,3,0,58.4,14,293,-0.97,10,4,10,0,0,1,53,2,26.5,100,100,100,100
194.194,-0.1,0,3,0,58.4,14,293,-0.97,10,4,10,0,0,1,53,2,26.5,97.6,100,100,100
194.194,-0.1,0,3,0,58.4,14,293,-0.97,10,4,12.5,0,0,1,51.3,2,25.7,88.7,99.5,100,100
194.194,-0.1,0,3,0,58.4,14,293,-0.97,10,4,15,0,0,1,49.7,2,24.8,81.9,98.1,100,100
180.167,0,1,3,0,69.3,13,267,-0.9,40,1,60,0,0,0,0,0,0,37.4,63.3,82.9,99.7
180.167,0,1,3,0,69.3,13,267,-0.9,10,4,10,0,0,1,79,0,0,74,94,100,100
180.167,0,1,3,0,69.3,13,267,-0.9,10,4,10,0,0,2,79,0,0,73.9,94.7,100,100
180.167,0,1,3,0,69.3,13,267,-0.9,30,4,20,0,0,2,49.25,0,0,24.5,38.6,48.9,60.8
180.167,0,1,3,0,69.3,13,267,-0.9,30,4,20,0,0,1,49.25,0,0,31.3,51.4,66.8,82.3
180.167,0,1,3,0,69.3,13,267,-0.9,50,4,30,0,0,1,19,0,0,73.5,96.7,99.3,100
180.167,0,1,3,0,69.3,13,267,-0.9,70,5,30,0,0,0,0,0,0,21.5,29.9,37.9,44.9
180.167,0,1,3,0,69.3,13,267,-0.9,60,5,40,0,0,0,0,0,0,17.3,25.4,31.9,38.8
180.167,0,1,3,0,69.3,13,267,-0.9,50,5,50,0,0,0,0,0,0,15.6,26,33,37.5
180.167,0,1,3,0,69.3,13,267,-0.9,30,5,70,0,0,0,0,0,0,21.7,30.6,37.5,42.7
180.167,0,1,3,0,69.3,13,267,-0.9,5,5,95,0,0,0,0,0,0,21.7,37.1,49.8,59.6
180.167,0,1,3,0,69.3,13,267,-0.9,1,5,99,0,0,0,0,0,0,25.4,43.4,59,70.4
180.167,0,1,3,0,69.3,13,267,-0.9,50,6,8,0,0,1,40,0,0,32.9,47.6,59.1,69.7
180.167,0,1,3,0,69.3,13,267,-0.9,50,6,8,0,0,1,40,0,0,32.5,47.5,58.9,69.9
180.167,0,1,3,0,69.3,13,267,-0.9,50,6,15,0,0,1,33,0,0,23.4,33,42.9,49.6
180.167,0,1,3,0,69.3,13,267,-0.9,50,6,30,0,0,1,18,0,0,17,25,32.4,38.7
180.167,0,1,3,0,69.3,13,267,-0.9,50,6,30,0,0,1,18,0,0,18.8,25,32.2,38.9
180.167,0,1,3,0,69.3,13,267,-0.9,50,6,30,0,0,1,18,0,0,18.8,25,32.2,38.8
180.167,0,1,3,0,69.3,13,267,-0.9,50,6,30,0,0,1,18,0,0,18.7,25.2,32,38.7
137.142,-0.7,2,3,1,68,10,120,0.01,81.97,3,16.39,0,0,0,0,0,0,95.3,100,100,100
137.142,-0.7,2,3,1,68,10,120,0.01,75.76,3,22.73,0,0,0,0,0,0,66.6,99.2,100,100
137.142,-0.7,2,3,1,68,10,120,0.01,70.42,3,28.17,0,0,0,0,0,0,57.2,82.4,96.5,100
137.142,-0.7,2,3,1,68,10,120,0.01,61.73,3,37.04,0,0,0,0,0,0,47.5,77.6,88.6,93.5
137.142,-0.7,2,3,1,68,10,120,0.01,54.95,3,43.96,0,0,0,0,0,0,43.2,69.8,80.4,87.5
137.142,-0.7,2,3,1,68,10,120,0.01,61.73,4,37.04,0,0,0,0,0,0,45,68,80,83.7
137.142,-0.7,2,3,1,68,10,120,0.01,61.73,5,37.04,0,0,0,0,0,0,42.7,64.7,74.8,81.9
137.142,-0.7,2,3,1,68,10,120,0.01,61.73,6,37.04,0,0,0,0,0,0,42,62.6,72.2,79.5
