"Molecular.Weight_g.mol_","XLogP3","Hydrogen.Bond.Donor.Count","Hydrogen.Bond.Acceptor.Count","Rotatable.Bond.Count","Topological.Polar.Surface.Area.A.2.","Heavy.Atom.Count","Complexity","LogS","Ratio.","Name","Ratio..1","Name.1","Ratio..2","Name.2","Ratio..3","Name.3","Ratio..4","X","mm","kp.kgf","Ratio..5","Ratio..6","Ratio..7","Ratio..8"
0.369959070356119,0.84375,0.285714285714286,0.357142857142857,0.538461538461538,0.38239608801956,0.346938775510204,0.152147239263804,0.273972602739726,0.355218030377266,0.6,0.159574468085106,0,0,0.5,0.623417721518987,0,0,0.333333333333333,0.566929133858268,0,0.375,0.597,0.761,0.872
0.453180249368995,0.5625,0.142857142857143,0.428571428571429,0.230769230769231,0.471882640586797,0.408163265306122,0.284049079754601,0.273972602739726,0.0183733463988241,0.8,0.319148936170213,0,0,0.5,0.784810126582278,0,0,0.333333333333333,0.503937007874016,0,0.241,0.385,0.493,0.589
0.189887592937413,0.609375,0.285714285714286,0.214285714285714,0.692307692307692,0.18679706601467,0.183673469387755,0.0582822085889571,0.450097847358121,0.232729054385105,0.4,0.292553191489362,0,0,0.5,0.569620253164557,0,0,0.666666666666667,0.8,0.203821656050955,0.425,0.636,0.774,0.865
0.23135382780387,0.78125,0.428571428571429,0.142857142857143,0.461538461538462,0.141809290953545,0.204081632653061,0.0840490797546012,0.313111545988258,0.395639392454679,0.6,0.656382978723404,0,0,0,0,0,0,0.333333333333333,0.503937007874016,0,0.305,0.516,0.639,0.733
0.453180249368995,0.5625,0.142857142857143,0.428571428571429,0.230769230769231,0.471882640586797,0.408163265306122,0.284049079754601,0.273972602739726,0.0183733463988241,0.6,0.478723404255319,0,0,0.5,0.594936708860759,0,0,0.333333333333333,0.503937007874016,0,0.229,0.367,0.48,0.581
0.100819321941468,0.859375,0.142857142857143,0.0714285714285714,0.307692307692308,0.121271393643032,0.102040816326531,0.050920245398773,0.217221135029354,0.232729054385105,0.6,0.117021276595745,0.8,1,1,0.40506329113924,0,0,0.333333333333333,0.8,0,0.238,0.379,0.49,0.619
0.516070754187378,0.90625,0.142857142857143,0.357142857142857,1,0.251833740831296,0.489795918367347,0.298159509202454,0,0.355218030377266,1,0.159574468085106,0,0,0.5,0.240506329113924,1,0.75,0.333333333333333,0.755905511811024,0,0.141,0.317,0.369,0.402
0,0.203125,0.285714285714286,0.142857142857143,0.0769230769230769,0.271393643031785,0,0,1,0.743875551200392,0.4,0.340851063829787,0,0,0,0,0,0,0.666666666666667,0.818897637795276,0.207006369426752,0.475,0.776,0.886,0.935
0.23135382780387,0.78125,0.428571428571429,0.142857142857143,0.461538461538462,0.141809290953545,0.204081632653061,0.0840490797546012,0.313111545988258,0.5515678588927,0.6,0.229893617021277,1,0.8315625,0,0,0,0,0.333333333333333,0.8,0,0.375,0.568,0.715,0.831
0.0627359432846659,0.3125,0.142857142857143,0.142857142857143,0,0.277750611246944,0.0612244897959184,0.0901840490797546,0.821917808219178,0.600195982361587,1,0.265957446808511,0,0,0.5,0.227848101265823,0,0,1,0.598425196850394,0.207006369426752,0.17,0.25,0.324,0.387
0.263902153800391,1,0.142857142857143,0.142857142857143,0.307692307692308,0.194132029339853,0.204081632653061,0.116564417177914,0.0587084148727984,0.232729054385105,0.4,0.527659574468085,0,0,1,0.29620253164557,0,0,1,0,0,0.313,0.501,0.648,0.782
0.189887592937413,0.609375,0.285714285714286,0.214285714285714,0.692307692307692,0.18679706601467,0.183673469387755,0.0582822085889571,0.450097847358121,0.232729054385105,1,0.372340425531915,0,0,0.5,0.468354430379747,0,0,0.333333333333333,0,0,0.26,0.386,0.488,0.571
0.0627359432846659,0.3125,0.142857142857143,0.142857142857143,0,0.277750611246944,0.0612244897959184,0.0901840490797546,0.821917808219178,0.0489955903968643,0.8,0.957446808510638,0,0,0,0,0,0,0.333333333333333,0.755905511811024,0.259872611464968,0.217,0.371,0.498,0.596
0.516070754187378,0.90625,0.142857142857143,0.357142857142857,1,0.251833740831296,0.489795918367347,0.298159509202454,0,0.355218030377266,0.4,0.0531914893617021,0,0,0.5,0.240506329113924,1,1,0.333333333333333,0.755905511811024,0,0.468,0.76,0.851,0.89
0.516070754187378,0.90625,0.142857142857143,0.357142857142857,1,0.251833740831296,0.489795918367347,0.298159509202454,0,0.395639392454679,0.8,0.301063829787234,0,0,0.5,0.421518987341772,0,0,0.333333333333333,0.755905511811024,0.32484076433121,0.0853,0.131,0.169,0.234
0.369959070356119,0.84375,0.285714285714286,0.357142857142857,0.538461538461538,0.38239608801956,0.346938775510204,0.152147239263804,0.273972602739726,0,0.8,1,0,0,0,0,0,0,0.333333333333333,0.755905511811024,0.259872611464968,0.151,0.249,0.322,0.4
0.100819321941468,0.859375,0.142857142857143,0.0714285714285714,0.307692307692308,0.121271393643032,0.102040816326531,0.050920245398773,0.217221135029354,0.232729054385105,0.6,0.0319148936170213,0.7,0.25,1,0.810126582278481,0,0,0.333333333333333,0.8,0,0.313,0.398,0.474,0.533
0.516070754187378,0.90625,0.142857142857143,0.357142857142857,1,0.251833740831296,0.489795918367347,0.298159509202454,0,0.355218030377266,0.4,0.372340425531915,0,0,0.5,0.240506329113924,1,0.25,0.333333333333333,0.755905511811024,0,0.185,0.451,0.513,0.571
0.0627359432846659,0.3125,0.142857142857143,0.142857142857143,0,0.277750611246944,0.0612244897959184,0.0901840490797546,0.821917808219178,0.355218030377266,0.6,0.159574468085106,0,0,0.5,0.623417721518987,0,0,0.333333333333333,0.566929133858268,0,0.313,0.514,0.668,0.823
