"Molecular.Weight_g.mol_","XLogP3","Hydrogen.Bond.Donor.Count","Hydrogen.Bond.Acceptor.Count","Rotatable.Bond.Count","Topological.Polar.Surface.Area.A.2.","Heavy.Atom.Count","Complexity","LogS","Ratio.","Name","Ratio..1","Name.1","Ratio..2","Name.2","Ratio..3","Name.3","Ratio..4","X","mm","kp.kgf","Ratio..5","Ratio..6","Ratio..7","Ratio..8"
0.453180249368995,0.5625,0.142857142857143,0.428571428571429,0.230769230769231,0.471882640586797,0.408163265306122,0.284049079754601,0.273972602739726,0.0168369064990459,0.6,0.638297872340426,0,0,0.5,0.40506329113924,0,0,0.333333333333333,0.503937007874016,0,0.185,0.298,0.394,0.489
0.189887592937413,0.609375,0.285714285714286,0.214285714285714,0.692307692307692,0.18679706601467,0.183673469387755,0.0582822085889571,0.450097847358121,0.213267482321248,0.4,0.372340425531915,0,0,0.5,0.468354430379747,0,0,0.333333333333333,0,0,0.349,0.534,0.703,0.839
0.369959070356119,0.84375,0.285714285714286,0.357142857142857,0.538461538461538,0.38239608801956,0.346938775510204,0.152147239263804,0.273972602739726,0.325513525648221,0.6,0.159574468085106,0,0,1,0.623417721518987,0,0,0.333333333333333,0.566929133858268,0,0.256,0.432,0.57,0.667
0.369959070356119,0.84375,0.285714285714286,0.357142857142857,0.538461538461538,0.38239608801956,0.346938775510204,0.152147239263804,0.273972602739726,0.213267482321248,0.8,0.797872340425532,0,0,0,0,0,0,0.333333333333333,0.755905511811024,0.259872611464968,0.216,0.348,0.453,0.534
0.453180249368995,0.5625,0.142857142857143,0.428571428571429,0.230769230769231,0.471882640586797,0.408163265306122,0.284049079754601,0.273972602739726,0.0168369064990459,0.6,0.319148936170213,0,0,0.5,0.784810126582278,0,0,0.333333333333333,0.503937007874016,0,0.269,0.422,0.543,0.654
1,0.9375,0.857142857142857,1,0.384615384615385,1,1,1,0.156555772994129,1,0.4,0.0426595744680851,0,0,0,0,0,0,0.333333333333333,0.818897637795276,0.280254777070064,0.471,0.766,0.855,0.896
0,0.203125,0.285714285714286,0.142857142857143,0.0769230769230769,0.271393643031785,0,0,1,0.779212032775845,0.4,0.246489361702128,0,0,0,0,0,0,0.666666666666667,0.818897637795276,0.21656050955414,0.572,0.824,0.965,1
0.516070754187378,0.90625,0.142857142857143,0.357142857142857,1,0.251833740831296,0.489795918367347,0.298159509202454,0,0.325513525648221,1,0.0531914893617021,0,0,0.5,0.240506329113924,1,1,0.333333333333333,0.755905511811024,0,0.319,0.469,0.611,0.786
0.23135382780387,0.78125,0.428571428571429,0.142857142857143,0.461538461538462,0.141809290953545,0.204081632653061,0.0840490797546012,0.313111545988258,0.505443933101358,0.6,0.0882978723404255,1,1,0,0,0,0,0.333333333333333,0.8,0,0.471,0.688,0.822,0.898
0.100819321941468,0.859375,0.142857142857143,0.0714285714285714,0.307692307692308,0.121271393643032,0.102040816326531,0.050920245398773,0.217221135029354,0.213267482321248,0.6,0.202127659574468,0.9,0.601202404809619,1,0.40506329113924,0,0,0.333333333333333,0.8,0,0.252,0.377,0.486,0.573
