"Molecular.Weight_g.mol_","XLogP3","Hydrogen.Bond.Donor.Count","Hydrogen.Bond.Acceptor.Count","Rotatable.Bond.Count","Topological.Polar.Surface.Area.A.2.","Heavy.Atom.Count","Complexity","LogS","Ratio.","Name","Ratio..1","Name.1","Ratio..2","Name.2","Ratio..3","Name.3","Ratio..4","Ratio..5","Ratio..6","Ratio..7","Ratio..8"
0.516070754187378,0.90625,0.142857142857143,0.357142857142857,1,0.251833740831296,0.489795918367347,0.298159509202454,0,0.325513525648221,1,0.0531914893617021,0,0,0.5,0.240506329113924,1,1,0.319,0.469,0.611,0.786
0.449680742945214,0.609375,0.428571428571429,0.357142857142857,0.538461538461538,0.618581907090465,0.428571428571429,0.35398773006135,0.136986301369863,0.0625210461331238,1,0.57563829787234,0,0,0.5,0.415696202531646,0,0,0.0604,0.117,0.173,0.24
0.189887592937413,0.609375,0.285714285714286,0.214285714285714,0.692307692307692,0.18679706601467,0.183673469387755,0.0582822085889571,0.450097847358121,0.213267482321248,1,0.0531914893617021,0,0,0.5,0.848101265822785,0,0,0.269,0.429,0.571,0.758
0.313751164679482,0.84375,0.142857142857143,0.0714285714285714,0.0769230769230769,0,0.224489795918367,0.153374233128834,0.117416829745597,0.213267482321248,0.4,0.585106382978723,0,0,0.5,0.120253164556962,1,0.2375,0.31,0.476,0.605,0.721
0.23135382780387,0.78125,0.428571428571429,0.142857142857143,0.461538461538462,0.141809290953545,0.204081632653061,0.0840490797546012,0.313111545988258,0.505443933101358,0.6,0.371489361702128,1,0.333166332665331,0,0,0,0,0.351,0.528,0.667,0.773
0.189887592937413,0.609375,0.285714285714286,0.214285714285714,0.692307692307692,0.18679706601467,0.183673469387755,0.0582822085889571,0.450097847358121,0.213267482321248,0.8,0.372340425531915,0,0,0.5,0.468354430379747,0,0,0.279,0.425,0.542,0.636
0.189887592937413,0.609375,0.285714285714286,0.214285714285714,0.692307692307692,0.18679706601467,0.183673469387755,0.0582822085889571,0.450097847358121,0.213267482321248,0.8,0.0531914893617021,0,0,0.5,0.848101265822785,0,0,0.331,0.501,0.682,0.868
0.0831891002039921,0.296875,0,0.142857142857143,0,0.224449877750611,0.0816326530612245,0.106134969325153,0.808219178082192,0.101021438994275,0.6,0.0797872340425532,0,0,0.5,0.649367088607595,1,0.6425,0.887,0.995,1,1
0.457612957505785,0.796875,0.142857142857143,0.357142857142857,0.538461538461538,0.35158924205379,0.408163265306122,0.273006134969325,0.136986301369863,0.398473453810753,0.2,0.284574468085106,0.9,0.795340681362725,0,0,0,0,0.133,0.241,0.336,0.436
0.369959070356119,0.84375,0.285714285714286,0.357142857142857,0.538461538461538,0.38239608801956,0.346938775510204,0.152147239263804,0.273972602739726,0.325513525648221,0.6,0.159574468085106,0,0,1,0.623417721518987,0,0,0.256,0.432,0.57,0.667
0.263902153800391,1,0.142857142857143,0.142857142857143,0.307692307692308,0.194132029339853,0.204081632653061,0.116564417177914,0.0587084148727984,0.213267482321248,0.4,0.776595744680851,0,0,1,0,0,0,0.275,0.448,0.603,0.733
0.263902153800391,1,0.142857142857143,0.142857142857143,0.307692307692308,0.194132029339853,0.204081632653061,0.116564417177914,0.0587084148727984,0.101021438994275,0.8,0.904255319148936,0,0,0,0,0,0,0.276,0.523,0.647,0.751
0.23135382780387,0.78125,0.428571428571429,0.142857142857143,0.461538461538462,0.141809290953545,0.204081632653061,0.0840490797546012,0.313111545988258,0.101021438994275,0.8,0.904255319148936,0,0,0,0,0,0,0.426,0.613,0.771,0.842
0.263902153800391,1,0.142857142857143,0.142857142857143,0.307692307692308,0.194132029339853,0.204081632653061,0.116564417177914,0.0587084148727984,0.213267482321248,0.4,0.0297872340425532,0,0,1,0.888607594936709,0,0,0.424,0.665,0.863,0.949
0.516070754187378,0.90625,0.142857142857143,0.357142857142857,1,0.251833740831296,0.489795918367347,0.298159509202454,0,0.325513525648221,0.4,0.372340425531915,0,0,0.5,0.240506329113924,1,0.25,0.185,0.451,0.513,0.571
